Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
222,13320.01,403.0454,403.0224,403.0771,25,1,449.8548,0.4865203,0.7936281
223,13380.01,403.1321,403.1101,403.1644,25,1,449.8301,0.45101,0.8560638
224,13440.01,403.218,403.1961,403.2507,25,1,449.8268,0.4364945,0.8768205
225,13500.01,403.304,403.2823,403.3378,25,1,449.8206,0.489517,0.7370276
226,13560.01,403.3909,403.3697,403.4251,25,1,449.7936,0.4767144,0.5995284
227,13620.01,403.4762,403.4539,403.5085,25,1,449.8042,0.4917173,0.5670093
228,13680.01,403.562,403.5395,403.5946,25,1,449.8051,0.4305214,0.9332121
229,13740.01,403.6483,403.6247,403.6808,25,1,449.7917,0.4918959,0.9021083
230,13800.54,403.7335,403.7079,403.7657,25,1,449.8047,0.4868726,0.8566203
231,13860.54,403.8191,403.7938,403.8512,25,1,449.8085,0.391554,0.8480108
232,13920.54,403.9049,403.8794,403.9386,25,1,449.8076,0.4635416,0.6324868
233,13980.54,403.9908,403.9651,404.0228,25,1,449.8053,0.4017253,0.6812748
234,14040.54,404.0767,404.0508,404.1082,25,1,449.8026,0.4848702,0.8308953
235,14100.54,404.1618,404.1378,404.1938,25,1,449.8171,0.4674062,0.7362565
236,14160.54,404.2477,404.2237,404.2821,25,1,449.815,0.4783584,0.5487794
237,14220.54,404.334,404.311,404.3685,25,1,449.8003,0.4559683,0.8452384
238,14280.54,404.4196,404.3974,404.4539,25,1,449.8039,0.4678415,0.895568
239,14340.54,404.5056,404.483,404.54,25,1,449.8001,0.4747596,0.6403435
240,14400.54,404.5909,404.5682,404.6237,25,1,449.8095,0.4553266,0.8772947
241,14460.54,404.6764,404.6541,404.7084,25,1,449.8169,0.4702901,0.9982364
242,14520.54,404.7626,404.7402,404.7947,25,1,449.8069,0.4802626,0.8729343
243,14580.54,404.8482,404.8241,404.881,25,1,449.8097,0.4779369,0.8599129
244,14640.54,404.9347,404.9102,404.9682,25,1,449.7935,0.4389533,0.8956435
245,14700.54,405.0205,404.9972,405.0549,25,1,449.7922,0.4751536,0.859459
246,14760.54,405.1062,405.0823,405.141,25,1,449.7936,0.4723974,0.8861882
247,14820.54,405.1921,405.1684,405.2285,25,1,449.7885,0.4944708,0.7854007
248,14880.54,405.2778,405.2529,405.3147,25,1,449.7908,0.455528,0.5886708
249,14940.54,405.3636,405.3387,405.4006,25,1,449.7908,0.4682597,0.8105426
250,15000.54,405.4492,405.4244,405.4854,25,1,449.7929,0.4923993,0.7022688
251,15060.54,405.535,405.5105,405.5725,25,1,449.7935,0.4516182,0.8200032
