Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
152,9120.011,397.0359,25,1,450.0047,0.4959569,0.6823747
153,9180.012,397.1217,25,1,450.0047,0.4699063,0.7014659
154,9240.012,397.2075,25,1,450.0047,0.4512242,0.588671
155,9300.012,397.2932,25,1,450.0047,0.4951077,0.8756999
156,9360.011,397.379,25,1,450.0047,0.4828529,1.018673
157,9420.011,397.4648,25,1,450.0047,0.4842382,0.897393
158,9480.011,397.5505,25,1,450.0047,0.4655327,1.023299
159,9540.012,397.6363,25,1,450.0047,0.4877776,0.9429607
160,9600.012,397.722,25,1,450.0047,0.4800914,0.8999861
161,9660.012,397.8078,25,1,450.0047,0.4820335,0.7414717
162,9720.011,397.8936,25,1,450.0047,0.4735169,0.6693845
163,9780.011,397.9793,25,1,450.0047,0.4471614,0.8102127
164,9840.012,398.0651,25,1,450.0047,0.428286,0.6166282
165,9900.012,398.1508,25,1,450.0047,0.4975441,0.8409551
166,9960.012,398.2366,25,1,450.0047,0.4845008,0.5172567
167,10020.01,398.3224,25,1,450.0047,0.4912147,0.4950285
168,10080.01,398.4081,25,1,450.0047,0.4543373,0.5275825
169,10140.01,398.4939,25,1,450.0047,0.43843,0.7497981
170,10200.01,398.5797,25,1,450.0047,0.4849327,0.555333
171,10260.01,398.6654,25,1,450.0047,0.4816498,1.007475
172,10320.01,398.7512,25,1,450.0047,0.4845197,0.7007463
173,10380.01,398.837,25,1,450.0047,0.4955323,0.9208161
174,10440.01,398.9227,25,1,450.0047,0.4969302,0.8150412
175,10500.01,399.0085,25,1,450.0047,0.4923815,0.7546313
176,10560.01,399.0943,25,1,450.0047,0.493091,0.9074422
177,10620.01,399.18,25,1,450.0047,0.4440472,0.8995317
178,10680.01,399.2658,25,1,450.0047,0.4902822,0.69451
179,10740.01,399.3516,25,1,450.0047,0.4812625,0.5050739
180,10800.01,399.4373,25,1,450.0047,0.4489047,0.8269945
181,10860.01,399.5231,25,1,450.0047,0.4883999,0.8215441
182,10920.01,399.6088,25,1,450.0047,0.4941326,0.5599407
183,10980.01,399.6946,25,1,450.0047,0.4723741,0.7786734
184,11040.01,399.7804,25,1,450.0047,0.4940912,0.4930359
185,11100.01,399.8661,25,1,450.0047,0.494971,1.010348
186,11160.01,399.9519,25,1,450.0047,0.4350998,0.8452687
187,11220.01,400.0377,25,1,450.0047,0.4845817,0.783887
188,11280.01,400.1234,25,1,450.0047,0.465796,0.8391004
189,11340.01,400.2092,25,1,450.0047,0.4858411,0.9613414
190,11400.01,400.295,25,1,450.0047,0.4629627,0.6966936
191,11460.01,400.3807,25,1,450.0047,0.4649909,0.8513325
192,11520.01,400.4665,25,1,450.0047,0.441955,1.009748
193,11580.01,400.5522,25,1,450.0047,0.4698056,0.4862906
194,11640.01,400.638,25,1,450.0047,0.4101168,0.8302723
195,11700.01,400.7238,25,1,450.0047,0.398562,0.638274
196,11760.01,400.8095,25,1,450.0047,0.3952866,0.7656735
