Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
208,12480.01,398.383,398.3634,398.4047,25,1,536.3972,0.4669926,0.7554738
209,12540.01,398.4523,398.4326,398.4727,25,1,536.8098,0.4791292,0.9881959
210,12600.01,398.521,398.5012,398.5424,25,1,537.2357,0.4618975,0.8302263
211,12660.01,398.5903,398.5699,398.6117,25,1,537.648,0.4954874,0.7605917
212,12720.01,398.6593,398.6378,398.6807,25,1,538.066,0.4691266,0.612509
213,12780.01,398.7284,398.7078,398.7502,25,1,538.4822,0.4610495,0.9858956
214,12840.01,398.7974,398.7779,398.819,25,1,538.9009,0.4705786,0.7816823
215,12900.01,398.8666,398.8475,398.8888,25,1,539.3168,0.4658232,0.6446609
216,12960.01,398.9355,398.9172,398.958,25,1,539.7364,0.472256,0.8614805
217,13020.01,399.0046,398.9868,399.0263,25,1,540.1539,0.4905098,0.834662
218,13080.01,399.0734,399.0551,399.0963,25,1,540.5787,0.4548435,0.7345828
219,13140.01,399.1424,399.1238,399.1647,25,1,540.9973,0.485882,0.853421
220,13200.01,399.2115,399.1921,399.2347,25,1,541.4151,0.4700419,0.9176226
221,13260.01,399.2805,399.2603,399.3042,25,1,541.833,0.4962195,0.7038025
222,13320.01,399.3499,399.3298,399.3734,25,1,542.2418,0.4468001,0.8388852
223,13380.01,399.4193,399.3987,399.4442,25,1,542.651,0.4783651,0.7722372
224,13440.01,399.4883,399.4674,399.5134,25,1,543.071,0.4506504,0.7719642
225,13500.01,399.5582,399.5373,399.583,25,1,543.468,0.4513367,0.5614617
226,13560.01,399.6273,399.6064,399.6523,25,1,543.8824,0.4027079,0.8737134
227,13620.01,399.6966,399.6755,399.7205,25,1,544.2955,0.4736505,0.7340724
228,13680.01,399.7656,399.7443,399.7893,25,1,544.7148,0.4456978,1.069747
229,13740.47,399.8344,399.8127,399.8574,25,1,545.1374,0.4293556,0.8358513
230,13800.47,399.9037,399.8821,399.9276,25,1,545.5507,0.4687102,0.9482122
231,13860.47,399.9728,399.9522,399.9946,25,1,545.9662,0.4785314,0.8719356
232,13920.47,400.0424,400.0213,400.0632,25,1,546.3718,0.484186,0.596378
233,13980.47,400.1118,400.0898,400.1336,25,1,546.7784,0.4980333,0.5198525
234,14040.47,400.1812,400.1586,400.2022,25,1,547.188,0.4966025,1.035567
235,14100.47,400.2498,400.2272,400.2726,25,1,547.6174,0.4535435,0.6867719
