Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
214,6419.999,0,0,1,583.3881,NaN,NaN
215,6449.999,0,0,1,586.1138,NaN,NaN
216,6479.999,0,0,1,588.8395,NaN,NaN
217,6509.999,0,0,1,591.5652,NaN,NaN
218,6539.999,0,0,1,594.2909,NaN,NaN
219,6569.999,0,0,1,597.0166,NaN,NaN
220,6600,0,0,1,599.7422,NaN,NaN
221,6630,0,0,1,602.468,NaN,NaN
222,6660.462,0,0,1,605.1937,NaN,NaN
223,6690.462,0,0,1,607.9194,NaN,NaN
224,6720.462,0,0,1,610.645,NaN,NaN
225,6750.462,0,0,1,613.3707,NaN,NaN
226,6780.462,0,0,1,616.0964,NaN,NaN
227,6810.462,0,0,1,618.8221,NaN,NaN
228,6840.461,0,0,1,621.5479,NaN,NaN
229,6870.461,0,0,1,624.2735,NaN,NaN
230,6900.461,0,0,1,626.9992,NaN,NaN
231,6930.461,0,0,1,629.7249,NaN,NaN
232,6960.461,0,0,1,632.4506,NaN,NaN
233,6990.462,0,0,1,635.1763,NaN,NaN
234,7020.462,0,0,1,637.902,NaN,NaN
235,7050.462,0,0,1,640.6277,NaN,NaN
236,7080.462,0,0,1,643.3534,NaN,NaN
237,7110.462,0,0,1,646.0791,NaN,NaN
238,7140.462,0,0,1,648.8047,NaN,NaN
239,7170.462,0,0,1,651.5305,NaN,NaN
240,7200.462,0,0,1,654.2562,NaN,NaN
241,7230.462,0,0,1,656.9819,NaN,NaN
242,7260.462,0,0,1,659.7075,NaN,NaN
243,7290.462,0,0,1,662.4332,NaN,NaN
244,7320.462,0,0,1,665.1589,NaN,NaN
245,7350.461,0,0,1,667.8846,NaN,NaN
246,7380.461,0,0,1,670.6104,NaN,NaN
247,7410.461,0,0,1,673.336,NaN,NaN
248,7440.461,0,0,1,676.0617,NaN,NaN
249,7470.462,0,0,1,678.7874,NaN,NaN
250,7500.461,0,0,1,681.5131,NaN,NaN
251,7530.462,0,0,1,684.2388,NaN,NaN
252,7560.462,0,0,1,686.9645,NaN,NaN
253,7590.461,0,0,1,689.6902,NaN,NaN
254,7620.461,0,0,1,692.4159,NaN,NaN
255,7650.462,0,0,1,695.1416,NaN,NaN
256,7680.461,0,0,1,697.8672,NaN,NaN
257,7710.461,0,0,1,700.593,NaN,NaN
258,7740.461,0,0,1,703.3187,NaN,NaN
259,7770.461,0,0,1,706.0444,NaN,NaN
260,7800.461,0,0,1,708.77,NaN,NaN
261,7830.461,0,0,1,711.4957,NaN,NaN
262,7860.461,0,0,1,714.2214,NaN,NaN
263,7890.461,0,0,1,716.9471,NaN,NaN
264,7920.461,0,0,1,719.6729,NaN,NaN
265,7950.461,0,0,1,722.3985,NaN,NaN
266,7980.461,0,0,1,725.1242,NaN,NaN
267,8010.461,0,0,1,727.8499,NaN,NaN
268,8040.461,0,0,1,730.5756,NaN,NaN
269,8070.461,0,0,1,733.3013,NaN,NaN
270,8100.461,0,0,1,736.027,NaN,NaN
271,8130.461,0,0,1,738.7527,NaN,NaN
272,8160.461,0,0,1,741.4784,NaN,NaN
273,8190.461,0,0,1,744.2041,NaN,NaN
274,8220.461,0,0,1,746.9297,NaN,NaN
275,8250.461,0,0,1,749.6555,NaN,NaN
276,8280.461,0,0,1,752.3812,NaN,NaN
277,8310.461,0,0,1,755.1069,NaN,NaN
278,8340.461,0,0,1,757.8325,NaN,NaN
279,8370.461,0,0,1,760.5582,NaN,NaN
280,8400.462,0,0,1,763.2839,NaN,NaN
281,8430.462,0,0,1,766.0096,NaN,NaN
282,8460.462,0,0,1,768.7354,NaN,NaN
283,8490.461,0,0,1,771.461,NaN,NaN
284,8520.461,0,0,1,774.1867,NaN,NaN
285,8550.462,0,0,1,776.9124,NaN,NaN
286,8580.462,0,0,1,779.6381,NaN,NaN
287,8610.462,0,0,1,782.3638,NaN,NaN
288,8640.462,0,0,1,785.0895,NaN,NaN
289,8670.462,0,0,1,787.8152,NaN,NaN
290,8700.462,0,0,1,790.5409,NaN,NaN
291,8730.462,0,0,1,793.2666,NaN,NaN
292,8760.462,0,0,1,795.9922,NaN,NaN
293,8790.462,0,0,1,798.718,NaN,NaN
294,8820.462,0,0,1,801.4437,NaN,NaN
295,8850.462,0,0,1,804.1694,NaN,NaN
296,8880.462,0,0,1,806.895,NaN,NaN
297,8910.462,0,0,1,809.6207,NaN,NaN
298,8940.461,0,0,1,812.3464,NaN,NaN
299,8970.461,0,0,1,815.0721,NaN,NaN
