Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
231,845.9214,386.0811,386.0811,386.0811,1,1,451.3908,0,0
232,849.5167,386.0892,386.0892,386.0892,1,1,451.3995,8.940697E-08,0
233,853.0968,386.0991,386.0991,386.0991,1,1,451.4023,2.980232E-08,0
234,856.6871,386.1069,386.1069,386.1069,1,1,451.4118,1.788139E-07,0
235,860.3483,386.1159,386.1159,386.1159,1,1,451.4175,-1.788139E-07,0
236,863.8948,386.126,386.126,386.126,1,1,451.4195,-5.960464E-08,0
237,867.421,386.1357,386.1357,386.1357,1,1,451.4229,2.980232E-08,0
238,871.2183,386.145,386.145,386.145,1,1,451.4279,0,0
239,874.8849,386.1541,386.1541,386.1541,1,1,451.4333,-1.192093E-07,0
240,878.5535,386.1639,386.1639,386.1639,1,1,451.4363,-5.960464E-08,0
241,882.2376,386.1721,386.1721,386.1721,1,1,451.4443,2.980232E-08,0
242,885.7097,386.1806,386.1806,386.1806,1,1,451.4518,0,0
243,889.1383,386.189,386.189,386.189,1,1,451.4594,0,0
244,892.5428,386.1978,386.1978,386.1978,1,1,451.4658,-1.192093E-07,0
245,896.0676,386.2066,386.2066,386.2066,1,1,451.472,0,0
246,899.4979,386.2168,386.2168,386.2168,1,1,451.4738,1.490116E-07,0
247,902.9146,386.2263,386.2263,386.2263,1,1,451.4778,0,0
248,906.4404,386.2352,386.2352,386.2352,1,1,451.484,5.960464E-08,0
249,909.936,386.2432,386.2432,386.2432,1,1,451.4929,0,0
250,913.391,386.252,386.252,386.252,1,1,451.4991,0,0
251,916.849,386.2613,386.2613,386.2613,1,1,451.5038,0,0
252,920.4086,386.2708,386.2708,386.2708,1,1,451.5078,0,0
253,924.0439,386.2792,386.2792,386.2792,1,1,451.5153,-5.960464E-08,0
254,927.6207,386.2885,386.2885,386.2885,1,1,451.5199,0,0
255,931.3867,386.2975,386.2975,386.2975,1,1,451.5258,2.980232E-08,0
256,934.9619,386.306,386.306,386.306,1,1,451.5328,1.490116E-07,0
257,938.4863,386.3138,386.3138,386.3138,1,1,451.5425,-5.960464E-08,0
258,942.0076,386.3224,386.3224,386.3224,1,1,451.5494,2.980232E-08,0
259,945.6531,386.3308,386.3308,386.3308,1,1,451.5568,0,0
260,949.4803,386.3408,386.3408,386.3408,1,1,451.5593,8.940697E-08,0
261,953.097,386.3506,386.3506,386.3506,1,1,451.5624,2.980232E-08,0
262,956.6968,386.3602,386.3602,386.3602,1,1,451.5661,0,0
263,960.2287,386.3686,386.3686,386.3686,1,1,451.5735,-5.960464E-08,0
264,963.7932,386.3764,386.3764,386.3764,1,1,451.5829,8.940697E-08,0
265,967.4067,386.3845,386.3845,386.3845,1,1,451.5916,2.980232E-08,0
266,970.9137,386.3934,386.3934,386.3934,1,1,451.5975,1.490116E-07,0
267,974.4915,386.4008,386.4008,386.4008,1,1,451.6082,-5.960464E-08,0
268,977.9921,386.4099,386.4099,386.4099,1,1,451.6135,0,0
269,981.5219,386.4182,386.4182,386.4182,1,1,451.6214,0,0
270,985.0342,386.4269,386.4269,386.4269,1,1,451.628,-1.788139E-07,0
271,988.654,386.4369,386.4369,386.4369,1,1,451.6305,0,0
272,992.2733,386.447,386.447,386.447,1,1,451.6325,0,0
273,995.9058,386.456,386.456,386.456,1,1,451.6379,0,0
274,999.5211,386.4643,386.4643,386.4643,1,1,451.6459,0,0
275,1003.06,386.4752,386.4752,386.4752,1,1,451.6452,2.980232E-08,0
276,1006.509,386.4841,386.4841,386.4841,1,1,451.6512,2.980232E-08,0
277,1010.211,386.4941,386.4941,386.4941,1,1,451.6534,0,0
278,1013.777,386.5033,386.5033,386.5033,1,1,451.6585,-5.960464E-08,0
279,1017.336,386.5135,386.5135,386.5135,1,1,451.6601,0,0
280,1020.903,386.5215,386.5215,386.5215,1,1,451.669,5.960464E-08,0
281,1024.454,386.5318,386.5318,386.5318,1,1,451.6703,5.960464E-08,0
282,1027.983,386.5407,386.5407,386.5407,1,1,451.676,8.940697E-08,0
283,1031.646,386.5497,386.5497,386.5497,1,1,451.6815,8.940697E-08,0
284,1035.197,386.5602,386.5602,386.5602,1,1,451.6823,0,0
285,1038.794,386.5669,386.5669,386.5669,1,1,451.6953,2.086163E-07,0
286,1042.313,386.5757,386.5757,386.5757,1,1,451.7015,0,0
287,1045.804,386.5851,386.5851,386.5851,1,1,451.7058,-2.384186E-07,0
288,1049.516,386.5943,386.5943,386.5943,1,1,451.7105,-5.960464E-08,0
289,1053.051,386.6033,386.6033,386.6033,1,1,451.7162,2.980232E-08,0
290,1056.654,386.6131,386.6131,386.6131,1,1,451.7191,-5.960464E-08,0
291,1060.187,386.6213,386.6213,386.6213,1,1,451.7273,0,0
292,1063.568,386.6305,386.6305,386.6305,1,1,451.7322,0,0
293,1067.042,386.6405,386.6405,386.6405,1,1,451.7344,0,0
294,1070.677,386.6503,386.6503,386.6503,1,1,451.7371,-5.960464E-08,0
295,1074.241,386.6593,386.6593,386.6593,1,1,451.7426,2.980232E-08,0
296,1077.874,386.6691,386.6691,386.6691,1,1,451.7456,2.980232E-08,0
297,1081.625,386.6776,386.6776,386.6776,1,1,451.7528,0,0
