Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
154,578.3962,385.7865,385.7865,385.7865,25,1,800,0.2979384,0.9668691
155,582.2252,385.798,385.798,385.798,25,1,800,0.365888,0.7784435
156,586.0593,385.8095,385.8095,385.8095,25,1,800,0.4699339,0.8478255
157,589.8912,385.821,385.821,385.821,25,1,800,0.3388248,0.7104843
158,593.7003,385.8325,385.8325,385.8325,25,1,800,0.3532426,0.2831784
159,597.5073,385.844,385.844,385.844,25,1,800,0.3354973,0.7802998
160,601.4183,385.8555,385.8555,385.8555,25,1,800,0.4661277,0.4671172
161,605.3413,385.867,385.867,385.867,25,1,800,0.3604477,1.037931
162,609.1553,385.8785,385.8785,385.8785,25,1,800,0.4082761,0.7593897
163,612.9603,385.89,385.89,385.89,25,1,800,0.3314886,1.022402
164,616.7603,385.9015,385.9015,385.9015,25,1,800,0.3799323,0.4900647
165,620.5714,385.913,385.913,385.913,25,1,800,0.3797177,0.9711178
166,624.3704,385.9245,385.9245,385.9245,25,1,800,0.3266158,0.9219673
167,628.1844,385.936,385.936,385.936,25,1,800,0.4362754,0.9562078
168,632.5474,385.9475,385.9475,385.9475,25,1,800,0.4444899,0.66856
169,637.9684,385.959,385.959,385.959,25,1,800,0.4157648,0.7032539
170,644.6654,385.9705,385.9705,385.9705,25,1,800,0.4361615,1.019253
171,649.2653,385.9819,385.9819,385.9819,25,1,800,0.3971842,0.6865253
172,653.3765,385.9934,385.9934,385.9934,25,1,800,0.3625074,0.8983976
173,657.3795,386.0049,386.0049,386.0049,25,1,800,0.3655988,0.3551754
174,661.3579,386.0164,386.0164,386.0164,25,1,800,0.4299115,0.8244119
175,665.5859,386.0279,386.0279,386.0279,25,1,800,0.4253567,0.8510225
176,669.7749,386.0394,386.0394,386.0394,25,1,800,0.4223562,0.6259843
177,673.8329,386.0508,386.0508,386.0508,25,1,800,0.3406964,0.8294738
178,678.0269,386.0623,386.0623,386.0623,25,1,800,0.3980183,0.7055051
179,682.1289,386.0738,386.0738,386.0738,25,1,800,0.4421987,0.8537521
180,686.1699,386.0853,386.0853,386.0853,25,1,800,0.3784106,0.9362654
181,690.3229,386.0967,386.0967,386.0967,25,1,800,0.3193939,0.9296174
182,694.3559,386.1082,386.1082,386.1082,25,1,800,0.3618595,0.5566111
