Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
261,7831.085,276.9274,25,0,0,0.4847939,0.9360474
262,7861.086,276.9041,25,0,0,0.4864787,0.8705661
263,7891.085,276.8808,25,0,0,0.3804407,1.0164
264,7921.085,276.8576,25,0,0,0.4885709,0.8194265
265,7951.086,276.8343,25,0,0,0.4803096,1.014267
266,7981.085,276.811,25,0,0,0.4632539,1.027488
267,8011.086,276.7878,25,0,0,0.4861998,0.9619156
268,8041.085,276.7645,25,0,0,0.4491002,0.9884099
269,8071.085,276.7412,25,0,0,0.4702151,0.898111
270,8101.086,276.718,25,0,0,0.4814925,1.004372
271,8131.085,276.6947,25,0,0,0.4861919,0.9476658
272,8161.086,276.6714,25,0,0,0.486658,0.9760494
273,8191.085,276.6482,25,0,0,0.4876931,0.8499285
274,8221.086,276.6249,25,0,0,0.444319,0.939935
275,8251.085,276.6017,25,0,0,0.4683359,0.8569442
276,8281.085,276.5784,25,0,0,0.4213593,1.085672
277,8311.085,276.5551,25,0,0,0.4803115,1.081584
278,8341.086,276.5319,25,0,0,0.4190747,1.035009
279,8371.086,276.5086,25,0,0,0.4363301,1.141364
280,8401.086,276.4854,25,0,0,0.4989125,0.9999561
281,8431.086,276.4621,25,0,0,0.4266174,1.099361
282,8461.086,276.4388,25,0,0,0.4181589,0.9705084
283,8491.086,276.4156,25,0,0,0.481843,1.140054
284,8521.086,276.3923,25,0,0,0.4800721,1.063224
285,8551.086,276.369,25,0,0,0.4849848,0.9854162
286,8581.086,276.3458,25,0,0,0.4785969,0.8977029
287,8611.085,276.3225,25,0,0,0.4395395,1.072695
288,8641.086,276.2992,25,0,0,0.4613047,1.051759
289,8671.085,276.276,25,0,0,0.4928417,1.0085
290,8701.086,276.2527,25,0,0,0.4818327,0.9621564
291,8731.086,276.2294,25,0,0,0.4979922,1.132826
292,8761.086,276.2062,25,0,0,0.4878757,1.115705
293,8791.086,276.1829,25,0,0,0.4622576,0.8072442
294,8821.085,276.1597,25,0,0,0.4257893,1.070908
295,8851.086,276.1364,25,0,0,0.4768212,0.9692261
296,8881.085,276.1131,25,0,0,0.4578408,0.9257551
297,8911.086,276.0899,25,0,0,0.4674753,1.17452
298,8941.086,276.0666,25,0,0,0.4580922,1.012777
299,8971.085,276.0433,25,0,0,0.4960532,0.8580033
300,9001.086,276.0201,25,0,0,0.4812175,0.9425043
301,9031.086,275.9968,25,0,0,0.4853387,1.004411
302,9061.085,275.9735,25,0,0,0.4868988,1.12124
303,9091.086,275.9503,25,0,0,0.4652337,0.8028159
304,9121.085,275.927,25,0,0,0.4827708,0.9732179
305,9151.086,275.9037,25,0,0,0.4898617,1.196927
306,9181.085,275.8805,25,0,0,0.4870261,1.060775
307,9211.086,275.8572,25,0,0,0.4834344,0.9887186
308,9241.085,275.834,25,0,0,0.4830318,0.9524099
309,9271.086,275.8107,25,0,0,0.4640444,0.902086
310,9301.085,275.7874,25,0,0,0.4509092,0.9832772
311,9331.086,275.7642,25,0,0,0.4516447,1.07357
312,9361.085,275.7409,25,0,0,0.4557385,0.9575613
313,9391.085,275.7177,25,0,0,0.477868,0.9777402
314,9421.086,275.6944,25,0,0,0.4844581,0.9273359
315,9451.086,275.6711,25,0,0,0.4588441,1.118039
316,9481.086,275.6479,25,0,0,0.4827318,1.05656
317,9511.085,275.6246,25,0,0,0.4572215,1.213171
318,9541.086,275.6013,25,0,0,0.478345,1.025961
319,9571.086,275.5781,25,0,0,0.4331512,1.16648
320,9601.086,275.5548,25,0,0,0.4778798,0.961701
321,9631.086,275.5315,25,0,0,0.4896109,0.9086168
322,9661.086,275.5083,25,0,0,0.4663376,1.096641
323,9691.086,275.485,25,0,0,0.4525339,1.202198
324,9721.086,275.4617,25,0,0,0.4892977,1.000605
325,9751.086,275.4385,25,0,0,0.486983,1.039656
326,9781.085,275.4152,25,0,0,0.4475444,1.115162
327,9811.086,275.3919,25,0,0,0.4972552,1.004945
328,9841.086,275.3687,25,0,0,0.3890596,1.166402
329,9871.085,275.3454,25,0,0,0.4677445,0.9498168
330,9901.086,275.3221,25,0,0,0.4742743,1.04359
331,9931.086,275.2989,25,0,0,0.475741,0.9651448
332,9961.086,275.2756,25,0,0,0.4777879,0.9948412
333,9991.086,275.2523,25,0,0,0.4631972,0.8719513
334,10021.09,275.2291,25,0,0,0.4825378,1.052649
335,10051.09,275.2058,25,0,0,0.4906135,1.1338
336,10081.08,275.1826,25,0,0,0.4605856,0.9312127
337,10111.08,275.1593,25,0,0,0.4882922,0.865603
338,10141.08,275.136,25,0,0,0.4582931,1.015038
339,10171.09,275.1128,25,0,0,0.4575858,0.9787654
340,10201.08,275.0895,25,0,0,0.4487881,1.031992
341,10231.09,275.0663,25,0,0,0.4366157,1.010999
342,10261.08,275.043,25,0,0,0.4532693,0.9632095
343,10291.08,275.0197,25,0,0,0.4198165,0.9280166
344,10321.09,274.9965,25,0,0,0.4909909,1.085376
345,10351.08,274.9732,25,0,0,0.4807626,0.8508977
346,10381.09,274.9499,25,0,0,0.4353842,0.9418864
347,10411.08,274.9267,25,0,0,0.47504,0.9213919
348,10441.09,274.9034,25,0,0,0.4931423,0.8758823
349,10471.09,274.8801,25,0,0,0.4751243,0.8042523
350,10501.09,274.8569,25,0,0,0.4562436,1.127522
351,10531.09,274.8336,25,0,0,0.4756015,1.083137
352,10561.09,274.8104,25,0,0,0.4139506,0.8089104
353,10591.09,274.7871,25,0,0,0.4872256,0.9885747
354,10621.08,274.7638,25,0,0,0.4787461,0.9943632
355,10651.08,274.7406,25,0,0,0.4864376,0.9307786
356,10681.08,274.7173,25,0,0,0.459478,0.9774539
357,10711.08,274.694,25,0,0,0.4811911,0.7899387
358,10741.09,274.6708,25,0,0,0.4813704,0.8288391
359,10771.09,274.6475,25,0,0,0.4875987,0.982569
360,10801.09,274.6242,25,0,0,0.4862042,0.9660037
361,10831.08,274.601,25,0,0,0.440271,1.007414
362,10861.09,274.5777,25,0,0,0.4774816,1.023923
363,10891.09,274.5544,25,0,0,0.4621389,0.9095623
364,10921.08,274.5312,25,0,0,0.489754,1.110727
365,10951.08,274.5079,25,0,0,0.4466636,0.7834194
366,10981.08,274.4846,25,0,0,0.4453325,1.101697
367,11011.09,274.4614,25,0,0,0.4870784,1.074337
368,11041.09,274.4381,25,0,0,0.4721261,0.8219962
369,11071.09,274.4149,25,0,0,0.4858959,0.9550896
370,11101.09,274.3916,25,0,0,0.4831785,1.024439
371,11131.08,274.3683,25,0,0,0.4830944,1.112801
372,11161.08,274.3451,25,0,0,0.4606212,1.08133
373,11191.09,274.3218,25,0,0,0.4710996,0.9349115
374,11221.09,274.2986,25,0,0,0.4823528,1.078809
375,11251.09,274.2753,25,0,0,0.4746031,1.15407
376,11281.09,274.252,25,0,0,0.4883929,1.158767
377,11311.08,274.2288,25,0,0,0.4212023,0.7932469
378,11341.08,274.2055,25,0,0,0.4977082,1.080266
379,11371.09,274.1822,25,0,0,0.4965791,1.251078
380,11401.09,274.159,25,0,0,0.4621129,0.9449803
381,11431.09,274.1357,25,0,0,0.4382353,1.097623
382,11461.09,274.1124,25,0,0,0.4692597,1.077129
383,11491.09,274.0892,25,0,0,0.4916681,1.08659
384,11521.09,274.0659,25,0,0,0.4786674,1.227397
385,11551.09,274.0426,25,0,0,0.4512124,0.8942512
386,11581.09,274.0194,25,0,0,0.4860895,1.008933
387,11611.09,273.9961,25,0,0,0.4680959,1.114915
388,11641.08,273.9728,25,0,0,0.4931341,0.8776362
389,11671.09,273.9496,25,0,0,0.4687475,0.9396389
390,11701.09,273.9263,25,0,0,0.4739072,1.044994
391,11731.09,273.903,25,0,0,0.4557525,0.9693924
392,11761.09,273.8798,25,0,0,0.4666235,0.8442092
393,11791.09,273.8565,25,0,0,0.4658531,0.9244127
394,11821.09,273.8333,25,0,0,0.4453854,1.003069
395,11851.08,273.81,25,0,0,0.4398413,0.9277627
396,11881.08,273.7867,25,0,0,0.4490819,0.9083405
397,11911.09,273.7635,25,0,0,0.410356,1.114331
398,11941.08,273.7402,25,0,0,0.4938578,0.7316663
399,11971.08,273.7169,25,0,0,0.4691803,0.8970236
400,12001.08,273.6937,25,0,0,0.4613637,0.7346358
401,12031.09,273.6704,25,0,0,0.478671,1.076954
402,12061.09,273.6472,25,0,0,0.4878947,1.034846
403,12091.08,273.6239,25,0,0,0.4548684,1.056769
404,12121.08,273.6006,25,0,0,0.4921253,0.8872185
405,12151.09,273.5774,25,0,0,0.486439,1.368001
